"","city","n","country","lat","long"
"1","England",1800,"United Kingdom",52.5934191,-0.2491985
"2","Lincoln",535,"United Kingdom",53.2336301,-0.5392172
"3","York",333,"United Kingdom",53.9590555,-1.0815361
"4","London",173,"United Kingdom",51.5073219,-0.1276474
"5","Northampton",124,"United Kingdom",52.2381355,-0.8963907
"6","Liddington",66,"United Kingdom",51.5318295,-1.7026625
"7","Stamford",66,"United Kingdom",52.6520552,-0.4804363
"8","Banbury",64,"United Kingdom",52.0601807,-1.3402795
"9","Leicester",63,"United Kingdom",52.6361398,-1.1330789
"10","Oxford",49,"United Kingdom",51.7520131,-1.2578499
"11","Sleaford",48,"United Kingdom",52.9984193,-0.4094529
"12","Stow Park",45,"United Kingdom",51.5818053,-3.0079146
"13","Nottingham",40,"United Kingdom",52.9534193,-1.1496461
"14","Huntingdon",36,"United Kingdom",52.3314292,-0.1847723
"15","Nettleham",34,"United Kingdom",53.2661301,-0.4861549
"16","Woodstock",34,"United Kingdom",51.8474887,-1.3545343
"17","Warwick",28,"United Kingdom",52.2814519,-1.5815742
"18","Grantham",25,"United Kingdom",52.9133829,-0.6426582
"19","Newark",25,"United Kingdom",53.0761693,-0.8092339
"20","Peterborough",20,"United Kingdom",52.5725769,-0.2427336
"21","Ely",19,"United Kingdom",52.40187845,0.283857419474175
"22","Gloucester",18,"United Kingdom",51.8653705,-2.2458192
"23","Homcastle",18,"United Kingdom",NA,NA
"24","Bermondsey",17,"United Kingdom",51.4970125,-0.063268
"25","Holland",16,"United Kingdom",51.2380723,0.0074004
"26","Islip",16,"United Kingdom",51.8231826,-1.2364036
"27","Grimsby",15,"United Kingdom",53.5677371,-0.0736289
"28","Bedford",14,"United Kingdom",52.1363806,-0.4675041
"29","Boston",14,"United Kingdom",52.9770408,-0.0239836
"30","Elstow",14,"United Kingdom",52.1153339,-0.4681274
"31","Fiskerton",14,"United Kingdom",53.235737,-0.4279668
"32","Fulford",14,"United Kingdom",53.9373984,-1.0721171
"33","Richmond",14,"United Kingdom",51.4613531,-0.3032767
"34","Rome",14,"United Kingdom",56.7862763,-2.7832537
"35","Buckingham",13,"United Kingdom",51.9983175,-0.9786725
"36","Leverton",13,"United Kingdom",53.0069137,0.0840916
"37","Spalding",13,"United Kingdom",52.7874935,-0.1516271
"38","Tottenham Court",13,"United Kingdom",51.5976955,-0.0672892
"39","Hereford",12,"United Kingdom",52.0553813,-2.7151735
"40","Kensington",12,"United Kingdom",51.4989948,-0.1991229
"41","South Luffenham",12,"United Kingdom",52.60507645,-0.606018680507261
"42","Worcester",12,"United Kingdom",52.1911849,-2.2206585
"43","Barrowden",11,"United Kingdom",52.5914986,-0.604697125650911
"44","Berkhamsted",11,"United Kingdom",51.75514375,-0.555768102390267
"45","Canterbury",11,"United Kingdom",51.2800275,1.0802533
"46","Churchill",11,"United Kingdom",52.4126915,-2.1787828
"47","Cornwall",11,"United Kingdom",NA,NA
"48","Hertford",11,"United Kingdom",51.7957409,-0.078521
"49","Kenilworth",11,"United Kingdom",52.3450526,-1.5816028
"50","Kent",11,"United Kingdom",NA,NA
"51","Kirtlington",11,"United Kingdom",51.8735333,-1.2749964
"52","Stoke Newington",11,"United Kingdom",51.5576971,-0.0772816
"53","Tackley",11,"United Kingdom",51.8825433,-1.3027918
"54","Yarburgh",11,"United Kingdom",53.4170967,0.0306739
"55","Bath",10,"United Kingdom",51.3813864,-2.3596963
"56","Dorchester",10,"United Kingdom",50.7132064,-2.4371229
"57","Durham",10,"United Kingdom",54.7764152,-1.5758539
"58","Eynsham",10,"United Kingdom",51.7841161,-1.3755251
"59","Highbury",10,"United Kingdom",51.5457996,-0.1027127
"60","Winchester",10,"United Kingdom",51.0612766,-1.3131692
"61","Aisthorpe",9,"United Kingdom",53.31097,-0.5795434
"62","Baldock",9,"United Kingdom",51.9889973,-0.1882079
"63","Baldok",9,"United Kingdom",NA,NA
"64","Broughton",9,"United Kingdom",53.1650183,-2.9875151
"65","Buckden",9,"United Kingdom",52.2949897,-0.2513765
"66","Cambridge",9,"United Kingdom",52.19758465,0.139153737368744
"67","Dunstable",9,"United Kingdom",51.8861316,-0.5209341
"68","Waltham",9,"United Kingdom",51.1981586,1.0165175
"69","Wells",9,"United Kingdom",51.2094511,-2.6451203
"70","Aylesbury",8,"United Kingdom",51.8161412,-0.8130383
"71","Buchan",8,"United Kingdom",NA,NA
"72","Chipping Norton",8,"United Kingdom",51.9418212,-1.5455303
"73","Grimoldby",8,"United Kingdom",53.3719357,0.0901237
"74","Irchester",8,"United Kingdom",52.2817403,-0.6467662
"75","Newnham",8,"United Kingdom",52.0209937,-0.1853037
"76","Skirbeck",8,"United Kingdom",52.9691289,-0.0084822
"77","Algarkirk",7,"United Kingdom",52.8997182,-0.0795578
"78","Barwell",7,"United Kingdom",52.5677249,-1.3457679
"79","Belchford",7,"United Kingdom",53.2607735,-0.0628264
"80","Bicester",7,"United Kingdom",51.8988832,-1.1518287
"81","Cotesbach",7,"United Kingdom",52.4360394,-1.2137515
"82","Fringford",7,"United Kingdom",51.9544798,-1.1228092
"83","Kibworth Beauchamp",7,"United Kingdom",52.53311805,-0.983089559339941
"84","Linwood",7,"United Kingdom",55.8471992,-4.502098
"85","Miningsby",7,"United Kingdom",53.1579759,-0.0241439
"86","Navenby",7,"United Kingdom",53.1066184,-0.5239171
"87","Old Temple",7,"United Kingdom",50.5305721,-4.6176108
"88","Orton Longueville",7,"United Kingdom",52.5551094,-0.2759303
"89","Spilsby",7,"United Kingdom",53.1734361,0.094623
"90","Stow",7,"United Kingdom",55.6928223,-2.8627517
"91","Sutterby",7,"United Kingdom",53.2302402,0.0742681
"92","Thimbleby",7,"United Kingdom",54.3523425,-1.3092338
"93","Tothill",7,"United Kingdom",53.311123,0.1261786
"94","Wendover",7,"United Kingdom",51.7676884,-0.7443215
"95","Willoughby",7,"United Kingdom",53.2246381,0.2007866
"96","Yaxley",7,"United Kingdom",52.511405,-0.241230992882527
"97","Bourne",6,"United Kingdom",52.7682148,-0.3771217
"98","Coventry",6,"United Kingdom",52.4081812,-1.510477
"99","Drayton",6,"United Kingdom",52.0727328,-1.375292
"100","East Kirkby",6,"United Kingdom",53.1401714,-0.0044193
"101","Friesthorpe",6,"United Kingdom",53.3368513,-0.3909358
"102","Hambleton",6,"United Kingdom",54.25045835,-1.43687830444286
"103","Hatfield",6,"United Kingdom",51.7634675,-0.2258741
"104","Helpringham",6,"United Kingdom",52.9516942,-0.3062884
"105","Ibstock",6,"United Kingdom",52.6883907,-1.3987871
"106","Kencott",6,"United Kingdom",NA,NA
"107","Kimbolton",6,"United Kingdom",52.2979227,-0.3882587
"108","Lafford",6,"United Kingdom",NA,NA
"109","Lancaster",6,"United Kingdom",54.0484068,-2.7990345
"110","Lichfield",6,"United Kingdom",52.6843696,-1.8275286
"111","Louth",6,"United Kingdom",53.3675163,-0.0022381
"112","Meppershall",6,"United Kingdom",52.012321,-0.3452561
"113","North Thoresby",6,"United Kingdom",53.4670883,-0.0554188
"114","Peatling Parva",6,"United Kingdom",52.5005734,-1.1338805
"115","Pembroke",6,"United Kingdom",51.6754422,-4.9144858
"116","Penn",6,"United Kingdom",52.5633067,-2.1612661
"117","Rushton",6,"United Kingdom",52.4393998,-0.7656317
"118","Salisbury",6,"United Kingdom",51.0690613,-1.7954134
"119","Shillington",6,"United Kingdom",51.9934511,-0.3595323
"120","South Kelsey",6,"United Kingdom",53.4707387,-0.4310635
"121","the Roman Curia",6,"United Kingdom",NA,NA
"122","Tickencote",6,"United Kingdom",52.67736545,-0.551259094572976
"123","Torksey",6,"United Kingdom",53.3002756,-0.7448882
"124","Warboys",6,"United Kingdom",52.4041489,-0.0793559
"125","Willingham",6,"United Kingdom",52.3140025,0.0592055
"126","Witney",6,"United Kingdom",51.7838848,-1.4852861
"127","All Saints",5,"United Kingdom",50.805436,-2.9875049
"128","Amersham",5,"United Kingdom",51.676685,-0.607692
"129","Ashby",5,"United Kingdom",52.7471344,-1.4712148
"130","Austin",5,"United Kingdom",50.3966529,-4.1054331
"131","Bamoldby",5,"United Kingdom",NA,NA
"132","Bampton",5,"United Kingdom",54.5571655,-2.7501703
"133","Barrowby",5,"United Kingdom",52.9161674,-0.6887849
"134","Belton",5,"United Kingdom",52.7829529,-1.3387918
"135","Benniworth",5,"United Kingdom",53.3199512,-0.1872422
"136","Billingborough",5,"United Kingdom",52.8938586,-0.3409855
"137","Bolingbroke",5,"United Kingdom",53.1651295,0.0188986
"138","Chester",5,"United Kingdom",53.1908873,-2.8908955
"139","Cottered",5,"United Kingdom",51.9464234,-0.0813596
"140","Cuxham",5,"United Kingdom",51.6524151,-1.0375868
"141","Ellington",5,"United Kingdom",55.2211076,-1.5676437
"142","Fleet",5,"United Kingdom",51.2828601,-0.831633447197901
"143","Fleet Marston",5,"United Kingdom",51.8352619,-0.8718345
"144","Gartree",5,"United Kingdom",52.4955139,-0.9658565
"145","Gayton le Marsh",5,"United Kingdom",53.3363907,0.1411162
"146","Glooston",5,"United Kingdom",52.5561591,-0.8955218
"147","Great Gaddesden",5,"United Kingdom",51.790242,-0.5103564
"148","Great Gransden",5,"United Kingdom",52.1862759,-0.1432049
"149","Great Houghton",5,"United Kingdom",53.5524609,-1.3476042
"150","Great Limber",5,"United Kingdom",53.5621956,-0.2900625
"151","Great Staughton",5,"United Kingdom",52.2685602,-0.3444957
"152","Hanslope",5,"United Kingdom",52.1145931,-0.8269439
"153","Harby",5,"United Kingdom",52.8720176,-0.8928483
"154","Helmdon",5,"United Kingdom",52.0866108,-1.12133254810404
"155","Hinton",5,"United Kingdom",52.170237,-1.2174175
"156","Hinxworth",5,"United Kingdom",52.049146,-0.1998206
"157","Holbeach",5,"United Kingdom",52.80421,0.0180043
"158","Ingoldmells",5,"United Kingdom",53.1932406,0.3346566
"159","Irby",5,"United Kingdom",53.3519359,-3.1181304
"160","Langton",5,"United Kingdom",54.0948273,-0.7836789
"161","Leire",5,"United Kingdom",52.5057202,-1.2281823
"162","Lenton",5,"United Kingdom",52.9471534,-1.1775589
"163","Loddington",5,"United Kingdom",52.6134771,-0.8360801
"164","Louthesk",5,"United Kingdom",NA,NA
"165","Lydell",5,"United Kingdom",NA,NA
"166","Mablethorpe",5,"United Kingdom",53.3408271,0.2606772
"167","Melchboume",5,"United Kingdom",NA,NA
"168","Muston",5,"United Kingdom",54.2006563,-0.3200698
"169","North Stoke",5,"United Kingdom",51.5723252,-1.1214708
"170","Offord Darcy",5,"United Kingdom",52.2822224,-0.2136807
"171","Peakirk",5,"United Kingdom",52.6447229,-0.2735216
"172","Pinchbeck",5,"United Kingdom",52.8136925,-0.1626841
"173","Pitstone",5,"United Kingdom",51.8339237,-0.6417767
"174","Redmile",5,"United Kingdom",52.9111841,-0.8139462
"175","Rutland",5,"United Kingdom",52.6031205,-0.7956845
"176","Somersham",5,"United Kingdom",52.3831577,-0.0007129
"177","St Peter",5,"United Kingdom",52.4128833,1.4323995
"178","Stevenage",5,"United Kingdom",51.9035099,-0.2013368
"179","Stickney",5,"United Kingdom",53.0924582,0.0036003
"180","Stroxton",5,"United Kingdom",52.8700106,-0.6564741
"181","Syresham",5,"United Kingdom",52.0705629,-1.0806424
"182","Thoresway",5,"United Kingdom",53.454297,-0.2424248
"183","Tusmore",5,"United Kingdom",51.96733025,-1.1653955010529
"184","Waddesdon",5,"United Kingdom",51.8456176,-0.9267193
"185","West Allington",5,"United Kingdom",51.2878034,0.5000993
"186","Whitchurch",5,"United Kingdom",52.9704092,-2.6852137
"187","Wymondham",5,"United Kingdom",52.5740252,1.12320289297682
"188","Aswarby",4,"United Kingdom",52.945766,-0.4144227
"189","Barton le Clay",4,"United Kingdom",51.9673954,-0.4256503
"190","Bottesford",4,"United Kingdom",52.94032455,-0.795814217555616
"191","Boultham",4,"United Kingdom",53.2139125,-0.5554491
"192","Brigsley",4,"United Kingdom",53.4986919,-0.1115367
"193","Broxholme",4,"United Kingdom",53.2915387,-0.6340114
"194","Bruntingthorpe",4,"United Kingdom",52.5034437,-1.113488
"195","Bucknall",4,"United Kingdom",53.2043098,-0.2477085
"196","Calcewaith",4,"United Kingdom",NA,NA
"197","Caldecote",4,"United Kingdom",52.1908063,-0.0306102
"198","Candlesby",4,"United Kingdom",53.1840374,0.1760178
"199","Candleshoe",4,"United Kingdom",NA,NA
"200","Carlisle",4,"United Kingdom",54.8948478,-2.9362311
"201","Carlton Curlieu",4,"United Kingdom",52.5677391,-0.975465
"202","Charlton",4,"United Kingdom",51.4826053,0.0365359
"203","Cosgrove",4,"United Kingdom",52.0764673,-0.8477531
"204","Covenham St Mary",4,"United Kingdom",53.4288994,0.0157257
"205","Daventry",4,"United Kingdom",52.2578681,-1.1626569
"206","Doncaster",4,"United Kingdom",53.5227681,-1.1335312
"207","Dunsby",4,"United Kingdom",52.8279012,-0.3593942
"208","East Halton",4,"United Kingdom",53.6642736,-0.279186066280936
"209","Edgcott",4,"United Kingdom",51.8988652,-1.0164222
"210","Elmesthorpe",4,"United Kingdom",52.5604483,-1.3089464
"211","Elnestowe",4,"United Kingdom",NA,NA
"212","Elsham",4,"United Kingdom",53.596952,-0.4378228
"213","Fishtoft",4,"United Kingdom",52.9618836,0.0269015
"214","Fordington",4,"United Kingdom",50.7141096,-2.4288775
"215","Frampton",4,"United Kingdom",51.4199339,-3.4800131
"216","Fulbeck",4,"United Kingdom",53.0417943,-0.5874992
"217","Galby",4,"United Kingdom",NA,NA
"218","Glaston",4,"United Kingdom",52.5954597,-0.667980226073807
"219","Grafham",4,"United Kingdom",52.3085604,-0.2975581
"220","Great Ponton",4,"United Kingdom",52.8630742,-0.6261511
"221","Haddon",4,"United Kingdom",52.520518,-0.3292857
"222","Hampslap",4,"United Kingdom",NA,NA
"223","Hethe",4,"United Kingdom",51.9601353,-1.1391588
"224","Hitcham",4,"United Kingdom",52.1232138,0.8950481
"225","Ivinghoe",4,"United Kingdom",51.8364034,-0.6298887
"226","Knaith",4,"United Kingdom",53.3533332,-0.7549729
"227","Knaptoft",4,"United Kingdom",52.5006699,-1.0788681
"228","Lea",4,"United Kingdom",53.3710883,-0.7542752
"229","Leadenham",4,"United Kingdom",53.0589415,-0.5819982
"230","Little Casterton",4,"United Kingdom",52.67986905,-0.490638010484623
"231","Loughborough",4,"United Kingdom",52.7723859,-1.2077985
"232","Ludgershall",4,"United Kingdom",51.256957,-1.6233744
"233","Manton",4,"United Kingdom",51.4152229,-1.755158
"234","Market Deeping",4,"United Kingdom",52.6769366,-0.3149877
"235","Newport",4,"United Kingdom",51.5882332,-2.9974967
"236","North Luffenham",4,"United Kingdom",52.6196562,-0.6171914
"237","Oundle",4,"United Kingdom",52.4808884,-0.467461
"238","Polebrook",4,"United Kingdom",52.4703886,-0.4278708
"239","Preston",4,"United Kingdom",53.7593363,-2.6992717
"240","Quadring",4,"United Kingdom",52.8820823,-0.1836923
"241","Rothley",4,"United Kingdom",52.71099595,-1.14231772209498
"242","Sausthorpe",4,"United Kingdom",53.2007653,0.0697041
"243","Scotter",4,"United Kingdom",53.4977931,-0.6674861
"244","Sibstone",4,"United Kingdom",NA,NA
"245","Sileby",4,"United Kingdom",52.7332174,-1.1045353
"246","Singlesole",4,"United Kingdom",NA,NA
"247","South Thoresby",4,"United Kingdom",53.2715916,0.1003293
"248","South Willingham",4,"United Kingdom",53.33789475,-0.188935571120196
"249","Southoe",4,"United Kingdom",52.2645461,-0.266987
"250","Spaldwick",4,"United Kingdom",52.3423268,-0.3452323
"251","Spaldyng",4,"United Kingdom",NA,NA
"252","Spillesby",4,"United Kingdom",NA,NA
"253","Stickford",4,"United Kingdom",53.1209768,0.0248635
"254","Surfleet",4,"United Kingdom",52.8351289,-0.1426897
"255","Tansor",4,"United Kingdom",52.5060951,-0.4468001
"256","Tewin",4,"United Kingdom",51.8165701,-0.155517
"257","Thurleigh",4,"United Kingdom",52.2152272,-0.4596295
"258","Towcester",4,"United Kingdom",52.1350273,-0.9948465
"259","Twyford",4,"United Kingdom",51.9315564,-1.0358424
"260","Uffington",4,"United Kingdom",51.6009313,-1.5626067
"261","Upper Heyford",4,"United Kingdom",51.9309707,-1.2762488
"262","Waddingham",4,"United Kingdom",53.4533093,-0.5194654
"263","Windsor",4,"United Kingdom",51.4814958,-0.6133183
"264","Woodston",4,"United Kingdom",52.5634876,-0.2571498
"265","Wraysbury",4,"United Kingdom",51.4574568,-0.5606471
"266","Wytteneye",4,"United Kingdom",NA,NA
"267","Althorpe",3,"United Kingdom",53.5772252,-0.7404416
"268","Ambrosden",3,"United Kingdom",51.871261,-1.1243062
"269","Armagh",3,"United Kingdom",54.3481977,-6.6540432
"270","Ashby Folville",3,"United Kingdom",52.7019391,-0.9545019
"271","Aynho",3,"United Kingdom",51.9965417,-1.2512976
"272","Ayston",3,"United Kingdom",52.6029782,-0.728837159980996
"273","Bag Enderby",3,"United Kingdom",53.2290638,0.0201129
"274","Bamack",3,"United Kingdom",NA,NA
"275","Belleau",3,"United Kingdom",53.2855442,0.1017862
"276","Beltisloe",3,"United Kingdom",NA,NA
"277","Binbrook",3,"United Kingdom",53.4290439,-0.179191
"278","Blunham",3,"United Kingdom",52.1463441,-0.3174754
"279","Blyborough",3,"United Kingdom",53.4382298,-0.5929338
"280","Boothby Graffoe",3,"United Kingdom",53.1208644,-0.5298767
"281","Branston",3,"United Kingdom",52.78867905,-1.66066838052343
"282","Broadwell",3,"United Kingdom",51.7346341,-1.6358497
"283","Brocklesby",3,"United Kingdom",53.586905,-0.2757603
"284","Bulwick",3,"United Kingdom",52.5375251,-0.5802007
"285","Buslingthorpe",3,"United Kingdom",53.3523061,-0.378701
"286","Bustardthorpe",3,"United Kingdom",NA,NA
"287","Byfield",3,"United Kingdom",52.1744947,-1.2480551
"288","Cadeby",3,"United Kingdom",53.4995392,-1.2224675
"289","Caenby",3,"United Kingdom",53.393398,-0.4966098
"290","Checkendon",3,"United Kingdom",51.5439758,-1.0403108
"291","Chichester",3,"United Kingdom",50.8364862,-0.7791721
"292","Courteenhall",3,"United Kingdom",52.1705656,-0.8822032
"293","Croft",3,"United Kingdom",53.1307519,0.2533976
"294","Crowland",3,"United Kingdom",52.675299,-0.1685608
"295","Croxton",3,"United Kingdom",52.4474701,0.7555784
"296","Dalderby",3,"United Kingdom",53.1770547,-0.1328685
"297","Denford",3,"United Kingdom",52.37832,-0.5433848
"298","Doddington",3,"United Kingdom",52.4975308,0.0603807
"299","Donington",3,"United Kingdom",52.9046401,-0.206098
"300","Dunton",3,"United Kingdom",52.0833347,-0.1963257
"301","Edmondthorpe",3,"United Kingdom",52.7497621,-0.7274336
"302","Egremont",3,"United Kingdom",54.4838316,-3.5327921
"303","Eresby",3,"United Kingdom",NA,NA
"304","Essendon",3,"United Kingdom",51.762891,-0.15423
"305","Everdon",3,"United Kingdom",52.2138067,-1.1344154
"306","Exeter",3,"United Kingdom",50.725562,-3.5269108
"307","Firsby",3,"United Kingdom",53.1442864,0.1744662
"308","Flamstead",3,"United Kingdom",51.8191023,-0.4387736
"309","Folkingham",3,"United Kingdom",52.8897079,-0.4085024
"310","Garthorpe",3,"United Kingdom",52.7795803,-0.7651441
"311","Gosberton",3,"United Kingdom",52.869059,-0.161089
"312","Great Linford",3,"United Kingdom",52.0717778,-0.7600445
"313","Greatford",3,"United Kingdom",52.6946463,-0.392001
"314","Hallaton",3,"United Kingdom",52.5617485,-0.83554
"315","Hallington",3,"United Kingdom",53.350578,-0.0415659
"316","Hampton Poyle",3,"United Kingdom",51.8370746,-1.2730362
"317","Harlaxton",3,"United Kingdom",52.8840417,-0.686898
"318","Hatcliffe",3,"United Kingdom",53.4891174,-0.1723789
"319","Haversham",3,"United Kingdom",52.0759306,-0.804732
"320","Heather",3,"United Kingdom",52.6931702,-1.4239897
"321","Hedges",3,"United Kingdom",52.0276459,-1.18565614602424
